op      | data    | P[]
address | address |  1  2  3  4  5  6  7  8  9  a  b
----------------------------------------------------
c1c52a -- c1c52e -- 00 36 00 23 f3 c8 0c 00 f0 0f 00
c1c53f -- c1c543 -- 00 36 00 23 f3 c8 0d 00 70 00 00
c1c569 -- c1c56d -- 00 36 00 23 f3 c8 0d 00 80 7f 00
c1c57e -- c1c582 -- 00 36 00 23 f3 c8 0e 00 80 03 00
c1c5a8 -- c1c5ac -- 00 36 00 23 f3 c8 0f 00 fc 03 00
c1c5bd -- c1c5c1 -- 00 36 00 23 f3 c8 10 00 1c 00 00
c1c5e7 -- c1c5eb -- 00 36 00 23 f3 c8 10 00 e0 1f 00
c1c5fc -- c1c600 -- 00 36 00 23 f3 c8 11 00 e0 00 00
c1c626 -- c1c62a -- 00 36 00 23 f3 c8 12 00 ff 00 00
c1c63b -- c1c63f -- 00 36 00 23 f3 c8 13 00 07 00 00
c1c665 -- c1c669 -- 00 36 00 23 f3 c8 13 00 f8 07 00
c1c67a -- c1c67e -- 00 36 00 23 f3 c8 14 00 38 00 00
c1c6a4 -- c1c6a8 -- 00 36 00 23 f3 c8 14 00 c0 3f 00
c1c6b9 -- c1c6bd -- 00 36 00 23 f3 c8 15 00 c0 01 00
c1c6e3 -- c1c6e7 -- 00 36 00 23 f3 c8 16 00 fe 01 00
c1c6f8 -- c1c6fc -- 00 36 00 23 f3 c8 17 00 0e 00 00
c1c722 -- c1c726 -- 00 36 00 23 f3 c8 17 00 f0 0f 00
c1c737 -- c1c73b -- 00 36 00 23 f3 c8 18 00 70 00 00
c1c761 -- c1c765 -- 00 36 00 23 f3 c8 18 00 80 7f 00
c1c776 -- c1c77a -- 00 36 00 23 f3 c8 19 00 80 03 00
c1c7a0 -- c1c7a4 -- 00 36 00 23 f3 c8 1a 00 fc 03 00
c1c7b5 -- c1c7b9 -- 00 36 00 23 f3 c8 1b 00 1c 00 00
c1c7df -- c1c7e3 -- 00 36 00 23 f3 c8 1b 00 e0 1f 00
c1c7f4 -- c1c7f8 -- 00 36 00 23 f3 c8 1c 00 e0 00 00
c1c854 -- c1c858 -- 00 36 00 23 f3 c8 0c 00 f0 0f 00
c1c864 -- c1c868 -- 00 36 00 23 f3 c8 0d 00 80 7f 00
c1c874 -- c1c878 -- 00 36 00 23 f3 c8 0f 00 fc 03 00
c1c884 -- c1c888 -- 00 36 00 23 f3 c8 10 00 e0 1f 00
c1c894 -- c1c898 -- 00 36 00 23 f3 c8 12 00 ff 00 00
c1c8a4 -- c1c8a8 -- 00 36 00 23 f3 c8 13 00 f8 07 00
c1c8b4 -- c1c8b8 -- 00 36 00 23 f3 c8 14 00 c0 3f 00
c1c8c4 -- c1c8c8 -- 00 36 00 23 f3 c8 16 00 fe 01 00
c1c8d4 -- c1c8d8 -- 00 36 00 23 f3 c8 17 00 f0 0f 00
c1c8e4 -- c1c8e8 -- 00 36 00 23 f3 c8 18 00 80 7f 00
c1c8f4 -- c1c8f8 -- 00 36 00 23 f3 c8 1a 00 fc 03 00
c1c904 -- c1c908 -- 00 36 00 23 f3 c8 1b 00 e0 1f 00
c1c917 -- c1c91b -- 00 36 00 23 f3 c8 04 00 f0 ff 0f
c1c927 -- c1c92b -- 00 36 00 23 f3 c8 06 00 f0 ff 0f
c1c948 -- c1c94c -- 00 36 00 23 f3 c8 08 00 f0 ff 0f
c1c958 -- c1c95c -- 00 36 00 23 f3 c8 0a 00 f0 ff 0f
c1c9e5 -- c1c9e9 -- 00 36 00 23 f3 c8 20 00 0f 00 00
c1d3a5 -- c1d3a9 -- 00 05 00 b7 9b c8 00 00 ff 03 00
c1d3b9 -- c1d3bd -- 00 05 00 b7 9b c8 03 00 30 00 00
c1d3cd -- c1d3d1 -- 00 05 00 b7 9b c8 01 00 fc 07 00
c1d3e8 -- c1d3ec -- 00 05 00 b7 9b c8 02 00 f8 0f 00
c2bc4f -- c2bc53 -- 00 03 00 b2 3c c2 02 00 20 00 00
c2bc63 -- c2bc67 -- 00 03 00 b2 3c c2 00 00 ff 00 00
c2bc9c -- c2bca0 -- 00 03 00 b2 3c c2 01 00 ff 00 00
c2bceb -- c2bcef -- 00 03 00 b2 3c c2 02 00 01 00 00
c2bcfb -- c2bcff -- 00 03 00 b2 3c c2 02 00 08 00 00
c2bd0b -- c2bd0f -- 00 03 00 b2 3c c2 02 00 10 00 00
c2bd1b -- c2bd1f -- 00 03 00 b2 3c c2 02 00 02 00 00
c2bd2b -- c2bd2f -- 00 03 00 b2 3c c2 02 00 04 00 00
c479a4 -- c479a8 -- 00 25 00 00 00 c2 24 00 1e 00 00
c5628f -- c56293 -- 00 09 00 32 d5 c8 08 00 03 00 00
c562b2 -- c562b6 -- 00 09 00 32 d5 c8 08 00 0c 00 00
c562d5 -- c562d9 -- 00 09 00 32 d5 c8 08 00 30 00 00
c562f8 -- c562fc -- 00 09 00 32 d5 c8 08 00 c0 00 00
c5643a -- c5643e -- 00 09 00 ca ee c8 00 00 02 00 00
c56633 -- c56637 -- 00 09 00 ca ee c8 00 00 01 00 00
c569d2 -- c569d6 -- 00 36 00 23 f3 c8 03 00 c0 0f 00
c569ea -- c569ee -- 00 36 00 23 f3 c8 01 00 7c 00 00
c569fe -- c56a02 -- 00 36 00 23 f3 c8 01 00 80 0f 00
c56a12 -- c56a16 -- 00 36 00 23 f3 c8 00 00 1f 00 00
c56a26 -- c56a2a -- 00 36 00 23 f3 c8 02 00 f0 01 00
c56a3a -- c56a3e -- 00 36 00 23 f3 c8 00 00 e0 03 00
c56dee -- c56df2 -- 01 0c 00 f0 26 c4 07 00 40 00 00
c56e15 -- c56e19 -- 01 0c 00 f0 26 c4 07 00 20 00 00
c6203e -- c62042 -- 00 0b 00 f3 c1 c8 01 00 ff 07 00
c62056 -- c6205a -- 00 0b 00 f3 c1 c8 02 00 f8 3f 00
c62073 -- c62077 -- 00 0b 00 f3 c1 c8 05 00 fe 0f 00
c62084 -- c62088 -- 00 0b 00 f3 c1 c8 03 00 c0 ff 01
c630ee -- c630f2 -- 01 73 01 a9 24 c4 03 00 ff 00 00
c63100 -- c63104 -- 01 73 01 a9 24 c4 02 00 ff 00 00
c63112 -- c63116 -- 01 73 01 a9 24 c4 04 00 ff 00 00
c67fc8 -- c67fcc -- 00 05 00 36 b7 c8 00 00 0f 00 00
c67fef -- c67ff3 -- 00 05 00 36 b7 c8 00 00 f0 00 00
c68016 -- c6801a -- 00 05 00 36 b7 c8 01 00 0f 00 00
c6852b -- c6852f -- 00 0b 00 66 ac c8 04 00 c0 3f 00
c6853d -- c68541 -- 00 0b 00 66 ac c8 06 00 fe 01 00
c6854f -- c68553 -- 00 0b 00 66 ac c8 07 00 f0 0f 00
c68561 -- c68565 -- 00 0b 00 66 ac c8 08 00 80 7f 00
c68573 -- c68577 -- 00 0b 00 66 ac c8 05 00 c0 01 00
c68585 -- c68589 -- 00 0b 00 66 ac c8 07 00 0e 00 00
c68597 -- c6859b -- 00 0b 00 66 ac c8 08 00 70 00 00
c685a9 -- c685ad -- 00 0b 00 66 ac c8 09 00 80 03 00
c685bb -- c685bf -- 00 0b 00 66 ac c8 02 00 7f 00 00
c685ce -- c685d2 -- 00 0b 00 66 ac c8 02 00 80 ff 00
c685e0 -- c685e4 -- 00 0b 00 66 ac c8 04 00 02 00 00
c685f2 -- c685f6 -- 00 0b 00 66 ac c8 04 00 08 00 00
c6861b -- c6861f -- 00 0b 00 66 ac c8 04 00 20 00 00
c77a82 -- c77a86 -- 00 09 00 ab 01 c5 00 00 ff 00 00
c77b0b -- c77b0f -- 00 05 00 b7 9b c8 01 00 fc 07 00
c77b1c -- c77b20 -- 00 05 00 b7 9b c8 02 00 f8 0f 00
