C609E0 $20 $3C $0A     JSR $0A3C [C60A3C] = $FFA9      A:0000 X:0000 Y:7FFE S:0377 D:0000 DB:7E P:05 V:18  H:297
C60A3C $A9 $FF $FF     LDA #$FFFF                      A:0000 X:0000 Y:7FFE S:0375 D:0000 DB:7E P:05 V:18  H:307
C60A3F $8D $7F $99     STA $997F [7E997F] = $FFFF      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:18  H:311
C60A42 $9C $09 $C3     STZ $C309 [7EC309] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:18  H:320
C60A45 $9C $FF $DA     STZ $DAFF [7EDAFF] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:18  H:327
C60A48 $9C $11 $DB     STZ $DB11 [7EDB11] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:18  H:336
C60A4B $9C $13 $DB     STZ $DB13 [7EDB13] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:4  
C60A4E $9C $17 $DB     STZ $DB17 [7EDB17] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:13 
C60A51 $9C $07 $DB     STZ $DB07 [7EDB07] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:21 
C60A54 $9C $09 $DB     STZ $DB09 [7EDB09] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:30 
C60A57 $9C $1D $DB     STZ $DB1D [7EDB1D] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:38 
C60A5A $9C $6F $C3     STZ $C36F [7EC36F] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:47 
C60A5D $9C $B9 $99     STZ $99B9 [7E99B9] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:55 
C60A60 $9C $B5 $99     STZ $99B5 [7E99B5] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:64 
C60A63 $22 $CC $07 $C9 JSL $C907CC                     A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:19  H:72 
C907CC $08             PHP                             A:FFFF X:0000 Y:7FFE S:0372 D:0000 DB:7E P:85 V:19  H:86 
C907CD $78             SEI                             A:FFFF X:0000 Y:7FFE S:0371 D:0000 DB:7E P:85 V:19  H:91 
C907CE $C2 $30         REP #$30                        A:FFFF X:0000 Y:7FFE S:0371 D:0000 DB:7E P:85 V:19  H:94 
C907D0 $48             PHA                             A:FFFF X:0000 Y:7FFE S:0371 D:0000 DB:7E P:85 V:19  H:98 
C907D1 $8B             PHB                             A:FFFF X:0000 Y:7FFE S:036F D:0000 DB:7E P:85 V:19  H:105
C907D2 $DA             PHX                             A:FFFF X:0000 Y:7FFE S:036E D:0000 DB:7E P:85 V:19  H:110
C907D3 $5A             PHY                             A:FFFF X:0000 Y:7FFE S:036C D:0000 DB:7E P:85 V:19  H:117
C907D4 $A3 $0A         LDA $0A,S [000374] = $C60A      A:FFFF X:0000 Y:7FFE S:036A D:0000 DB:7E P:85 V:19  H:124
C907D6 $48             PHA                             A:C60A X:0000 Y:7FFE S:036A D:0000 DB:7E P:85 V:19  H:133
