C6029A $20 $C8 $02     JSR $02C8 [C602C8] = $8922      A:0000 X:0004 Y:4F8E S:0377 D:0000 DB:7E P:07 V:164 H:214
C602C8 $22 $89 $07 $C9 JSL $C90789                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:164 H:224
C90789 $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:164 H:237
C9078A $78             SEI                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:164 H:242
C9078B $C2 $30         REP #$30                        A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:164 H:245
C9078D $48             PHA                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:164 H:250
C9078E $8B             PHB                             A:0000 X:0004 Y:4F8E S:036F D:0000 DB:7E P:07 V:164 H:257
C9078F $DA             PHX                             A:0000 X:0004 Y:4F8E S:036E D:0000 DB:7E P:07 V:164 H:262
C90790 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:164 H:269
C90791 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:164 H:276
C90793 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:164 H:301
C90794 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:164 H:308
C90795 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:164 H:314
C90796 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:164 H:321
C90799 $B3 $09         LDA ($09,S),Y [C602CF] = $0004  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:164 H:325
C9079B $85 $40         STA $40 [000040] = $0001        A:0004 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:164 H:337
C9079D $C8             INY                             A:0004 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:165 H:4  
C9079E $B3 $09         LDA ($09,S),Y [C602D0] = $0000  A:0004 X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:165 H:7  
C907A0 $85 $41         STA $41 [000041] = $0200        A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:165 H:20 
C907A2 $A0 $01 $00     LDY #$0001                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:165 H:27 
C907A5 $B3 $09         LDA ($09,S),Y [C602CC] = $99C5  A:0000 X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:165 H:32 
C907A7 $AA             TAX                             A:99C5 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:165 H:45 
C907A8 $C8             INY                             A:99C5 X:99C5 Y:0001 S:036A D:0000 DB:C6 P:85 V:165 H:48 
C907A9 $B3 $09         LDA ($09,S),Y [C602CD] = $7E99  A:99C5 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:165 H:51 
C907AB $48             PHA                             A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:165 H:64 
C907AC $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0368 D:0000 DB:C6 P:05 V:165 H:71 
C907AD $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0369 D:0000 DB:99 P:85 V:165 H:77 
C907AE $BD $00 $00     LDA $0000,X [7E99C5] = $150C    A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:84 
C907B1 $05 $40         ORA $40 [000040] = $0004        A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:94 
C907B3 $9D $00 $00     STA $0000,X [7E99C5] = $150C    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:101
C907B6 $BD $01 $00     LDA $0001,X [7E99C6] = $0015    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:111
C907B9 $05 $41         ORA $41 [000041] = $0000        A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:121
C907BB $9D $01 $00     STA $0001,X [7E99C6] = $0015    A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:128
C907BE $A3 $09         LDA $09,S [000373] = $02CB      A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:148
C907C0 $18             CLC                             A:02CB X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:165 H:156
C907C1 $69 $06 $00     ADC #$0006                      A:02CB X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:165 H:159
C907C4 $83 $09         STA $09,S [000373] = $02CB      A:02D1 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:165 H:164
C907C6 $7A             PLY                             A:02D1 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:165 H:172
C907C7 $FA             PLX                             A:02D1 X:99C5 Y:4F8E S:036C D:0000 DB:7E P:04 V:165 H:181
C907C8 $AB             PLB                             A:02D1 X:0004 Y:4F8E S:036E D:0000 DB:7E P:04 V:165 H:189
C907C9 $68             PLA                             A:02D1 X:0004 Y:4F8E S:036F D:0000 DB:7E P:04 V:165 H:196
C907CA $28             PLP                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:06 V:165 H:204
C907CB $6B             RTL                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:165 H:211
C602D2 $22 $89 $07 $C9 JSL $C90789                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:165 H:221
C90789 $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:165 H:235
C9078A $78             SEI                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:165 H:240
C9078B $C2 $30         REP #$30                        A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:165 H:243
C9078D $48             PHA                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:165 H:247
C9078E $8B             PHB                             A:0000 X:0004 Y:4F8E S:036F D:0000 DB:7E P:07 V:165 H:254
C9078F $DA             PHX                             A:0000 X:0004 Y:4F8E S:036E D:0000 DB:7E P:07 V:165 H:259
C90790 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:165 H:266
C90791 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:165 H:273
C90793 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:165 H:298
C90794 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:165 H:305
C90795 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:165 H:312
C90796 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:165 H:318
C90799 $B3 $09         LDA ($09,S),Y [C602D9] = $0008  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:165 H:323
C9079B $85 $40         STA $40 [000040] = $0004        A:0008 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:165 H:335
C9079D $C8             INY                             A:0008 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:166 H:2  
C9079E $B3 $09         LDA ($09,S),Y [C602DA] = $0000  A:0008 X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:166 H:5  
C907A0 $85 $41         STA $41 [000041] = $0000        A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:166 H:18 
C907A2 $A0 $01 $00     LDY #$0001                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:166 H:25 
C907A5 $B3 $09         LDA ($09,S),Y [C602D6] = $99C5  A:0000 X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:166 H:29 
C907A7 $AA             TAX                             A:99C5 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:166 H:42 
C907A8 $C8             INY                             A:99C5 X:99C5 Y:0001 S:036A D:0000 DB:C6 P:85 V:166 H:45 
C907A9 $B3 $09         LDA ($09,S),Y [C602D7] = $7E99  A:99C5 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:166 H:48 
C907AB $48             PHA                             A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:166 H:61 
C907AC $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0368 D:0000 DB:C6 P:05 V:166 H:68 
C907AD $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0369 D:0000 DB:99 P:85 V:166 H:75 
C907AE $BD $00 $00     LDA $0000,X [7E99C5] = $150C    A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:81 
C907B1 $05 $40         ORA $40 [000040] = $0008        A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:91 
C907B3 $9D $00 $00     STA $0000,X [7E99C5] = $150C    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:98 
C907B6 $BD $01 $00     LDA $0001,X [7E99C6] = $0015    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:108
C907B9 $05 $41         ORA $41 [000041] = $0000        A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:118
C907BB $9D $01 $00     STA $0001,X [7E99C6] = $0015    A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:125
C907BE $A3 $09         LDA $09,S [000373] = $02D5      A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:145
