C6072B $20 $32 $07     JSR $0732 [C60732] = $A99C      A:0002 X:0000 Y:0000 S:0377 D:0000 DB:7E P:04 V:257 H:6  
C60732 $9C $A9 $99     STZ $99A9 [7E99A9] = $0A80      A:0002 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:257 H:16 
C60735 $9C $AD $99     STZ $99AD [7E99AD] = $0BA8      A:0002 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:257 H:25 
C60738 $A9 $FF $FF     LDA #$FFFF                      A:0002 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:257 H:33 
C6073B $8D $A7 $99     STA $99A7 [7E99A7] = $08A0      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:38 
C6073E $8D $AB $99     STA $99AB [7E99AB] = $0888      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:46 
C60741 $AD $9F $99     LDA $999F [7E999F] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:55 
C60744 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:63 
C60747 $F0 $0B         BEQ $C60754                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:68 
C60749 $C9 $FF $FF     CMP #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:71 
C6074C $D0 $03         BNE $C60751                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:75 
C6074E $A9 $00 $00     LDA #$0000                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:78 
C60751 $8D $A7 $99     STA $99A7 [7E99A7] = $FFFF      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:83 
C60754 $AD $A1 $99     LDA $99A1 [7E99A1] = $FFFF      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:91 
C60757 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:100
C6075A $F0 $0B         BEQ $C60767                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:104
C6075C $C9 $FF $FF     CMP #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:107
C6075F $D0 $03         BNE $C60764                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:112
C60761 $A9 $FF $FF     LDA #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:115
C60764 $8D $A9 $99     STA $99A9 [7E99A9] = $0000      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:119
C60767 $AD $A3 $99     LDA $99A3 [7E99A3] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:128
C6076A $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:146
C6076D $F0 $0B         BEQ $C6077A                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:151
C6076F $C9 $FF $FF     CMP #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:154
C60772 $D0 $03         BNE $C60777                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:158
C60774 $A9 $00 $00     LDA #$0000                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:161
C60777 $8D $AB $99     STA $99AB [7E99AB] = $FFFF      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:166
C6077A $AD $A5 $99     LDA $99A5 [7E99A5] = $FFFF      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:174
C6077D $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:183
C60780 $F0 $0B         BEQ $C6078D                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:187
C60782 $C9 $FF $FF     CMP #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:190
C60785 $D0 $03         BNE $C6078A                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:195
C60787 $A9 $FF $FF     LDA #$FFFF                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:198
C6078A $8D $AD $99     STA $99AD [7E99AD] = $0000      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:202
C6078D $A2 $00 $00     LDX #$0000                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:211
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3E2] = $8000  A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:215
C60794 $10 $5F         BPL $C607F5                     A:8000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:225
C60796 $BF $72 $E4 $7F LDA $7FE472,X [7FE472] = $0000  A:8000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:228
C6079A $C9 $02 $00     CMP #$0002                      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:257 H:238
C6079D $B0 $56         BCS $C607F5                     A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:243
C6079F $BF $B2 $E4 $7F LDA $7FE4B2,X [7FE4B2] = $FFFF  A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:246
C607A3 $F0 $50         BEQ $C607F5                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:256
C607A5 $AD $9F $99     LDA $999F [7E999F] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:259
C607A8 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:267
C607AB $D0 $0C         BNE $C607B9                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:272
C607B9 $AD $A3 $99     LDA $99A3 [7E99A3] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:276
C607BC $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:285
C607BF $D0 $0C         BNE $C607CD                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:289
C607CD $AD $A1 $99     LDA $99A1 [7E99A1] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:294
C607D0 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:302
C607D3 $D0 $0C         BNE $C607E1                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:307
C607E1 $AD $A5 $99     LDA $99A5 [7E99A5] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:311
C607E4 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:320
C607E7 $D0 $0C         BNE $C607F5                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:324
C607F5 $E8             INX                             A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:328
