7E9897 $5C $00 $E1 $CA JMP $CAE100                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:111
CAE100 $22 $A1 $DF $CB JSL $CBDFA1                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:118
CBDFA1 $AD $77 $99     LDA $9977 [7E9977] = $0000      A:0000 X:0000 Y:FFFE S:0374 D:0000 DB:7E P:06 V:20  H:132
CBDFA4 $22 $04 $46 $C0 JSL $C04604                     A:0000 X:0000 Y:FFFE S:0374 D:0000 DB:7E P:06 V:20  H:150
C04604 $08             PHP                             A:0000 X:0000 Y:FFFE S:0371 D:0000 DB:7E P:06 V:20  H:164
C04605 $C2 $30         REP #$30                        A:0000 X:0000 Y:FFFE S:0370 D:0000 DB:7E P:06 V:20  H:169
C04607 $8B             PHB                             A:0000 X:0000 Y:FFFE S:0370 D:0000 DB:7E P:06 V:20  H:173
C04608 $48             PHA                             A:0000 X:0000 Y:FFFE S:036F D:0000 DB:7E P:06 V:20  H:178
C04609 $DA             PHX                             A:0000 X:0000 Y:FFFE S:036D D:0000 DB:7E P:06 V:20  H:185
C0460A $5A             PHY                             A:0000 X:0000 Y:FFFE S:036B D:0000 DB:7E P:06 V:20  H:192
C0460B $8F $62 $8B $7E STA $7E8B62                     A:0000 X:0000 Y:FFFE S:0369 D:0000 DB:7E P:06 V:20  H:199
C0460F $E2 $20         SEP #$20                        A:0000 X:0000 Y:FFFE S:0369 D:0000 DB:7E P:06 V:20  H:209
C04611 $A3 $0B         LDA $0B,S [000374] = $CB        A:0000 X:0000 Y:FFFE S:0369 D:0000 DB:7E P:26 V:20  H:214
C04613 $48             PHA                             A:00CB X:0000 Y:FFFE S:0369 D:0000 DB:7E P:A4 V:20  H:220
C04614 $AB             PLB                             A:00CB X:0000 Y:FFFE S:0368 D:0000 DB:7E P:A4 V:20  H:225
C04615 $C2 $20         REP #$20                        A:00CB X:0000 Y:FFFE S:0369 D:0000 DB:CB P:A4 V:20  H:232
C04617 $A0 $01 $00     LDY #$0001                      A:00CB X:0000 Y:FFFE S:0369 D:0000 DB:CB P:84 V:20  H:236
C0461A $B3 $09         LDA ($09,S),Y [CBDFA8] = $30D9  A:00CB X:0000 Y:0001 S:0369 D:0000 DB:CB P:04 V:20  H:241
C0461C $8F $64 $8B $7E STA $7E8B64                     A:30D9 X:0000 Y:0001 S:0369 D:0000 DB:CB P:04 V:20  H:254
C04620 $C8             INY                             A:30D9 X:0000 Y:0001 S:0369 D:0000 DB:CB P:04 V:20  H:264
C04621 $B3 $09         LDA ($09,S),Y [CBDFA9] = $F630  A:30D9 X:0000 Y:0002 S:0369 D:0000 DB:CB P:04 V:20  H:267
C04623 $8F $65 $8B $7E STA $7E8B65                     A:F630 X:0000 Y:0002 S:0369 D:0000 DB:CB P:84 V:20  H:286
C04627 $C8             INY                             A:F630 X:0000 Y:0002 S:0369 D:0000 DB:CB P:84 V:20  H:296
C04628 $C8             INY                             A:F630 X:0000 Y:0003 S:0369 D:0000 DB:CB P:04 V:20  H:299
C04629 $B3 $09         LDA ($09,S),Y [CBDFAB] = $AD00  A:F630 X:0000 Y:0004 S:0369 D:0000 DB:CB P:04 V:20  H:302
C0462B $29 $FF $00     AND #$00FF                      A:AD00 X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:20  H:315
C0462E $8F $68 $8B $7E STA $7E8B68                     A:0000 X:0000 Y:0004 S:0369 D:0000 DB:CB P:06 V:20  H:319
C04632 $A3 $09         LDA $09,S [000372] = $DFA7      A:0000 X:0000 Y:0004 S:0369 D:0000 DB:CB P:06 V:20  H:328
C04634 $1A             INC                             A:DFA7 X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:20  H:337
C04635 $1A             INC                             A:DFA8 X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:0  
C04636 $1A             INC                             A:DFA9 X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:3  
C04637 $1A             INC                             A:DFAA X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:6  
C04638 $83 $09         STA $09,S [000372] = $DFA7      A:DFAB X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:9  
C0463A $4C $50 $46     JMP $4650 [C04650] = $7EF4      A:DFAB X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:17 
C04650 $F4 $7E $7E     PEA #$7E7E                      A:DFAB X:0000 Y:0004 S:0369 D:0000 DB:CB P:84 V:21  H:22 
C04653 $AB             PLB                             A:DFAB X:0000 Y:0004 S:0367 D:0000 DB:CB P:84 V:21  H:30 
C04654 $AB             PLB                             A:DFAB X:0000 Y:0004 S:0368 D:0000 DB:7E P:04 V:21  H:37 
C04655 $AD $62 $8B     LDA $8B62 [7E8B62] = $0000      A:DFAB X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:43 
C04658 $C9 $20 $00     CMP #$0020                      A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:06 V:21  H:52 
C0465B $B0 $12         BCS $C0466F                     A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:84 V:21  H:56 
C0465D $A2 $00 $00     LDX #$0000                      A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:84 V:21  H:59 
C04660 $BD $42 $8B     LDA $8B42,X [7E8B42] = $FFFF    A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:06 V:21  H:64 
