C16D2B $A2 $08 $00     LDX #$0008                      A:0006 X:0010 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzc V:62  H:89 
C16D2E $86 $18         STX $18 [0000D8] = $0208        A:0006 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzc V:62  H:93 
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2DA] = $0001    A:0006 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzc V:62  H:102
C16D33 $F0 $0E         BEQ $C16D43                     A:0001 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzc V:62  H:112
C16D35 $BD $9E $E3     LDA $E39E,X [7FE3A6] = $FF00    A:0001 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzc V:62  H:115
C16D38 $1D $A8 $E3     ORA $E3A8,X [7FE3B0] = $0000    A:FF00 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzc V:62  H:125
C16D3B $F0 $06         BEQ $C16D43                     A:FF00 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzc V:62  H:145
C16D3D $20 $B6 $6D     JSR $6DB6 [C16DB6] = $9EBD      A:FF00 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzc V:62  H:148
C16DB6 $BD $9E $E3     LDA $E39E,X [7FE3A6] = $FF00    A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:158
C16DB9 $F0 $3B         BEQ $C16DF6                     A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:168
C16DBB $30 $18         BMI $C16DD5                     A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:171
C16DD5 $49 $FF $FF     EOR #$FFFF                      A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:175
C16DD8 $1A             INC                             A:00FF X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:180
C16DD9 $85 $1C         STA $1C [0000DC] = $0000        A:0100 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:183
C16DDB $BD $32 $E3     LDA $E332,X [7FE33A] = $FF00    A:0100 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:191
C16DDE $29 $FF $00     AND #$00FF                      A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:201
C16DE1 $38             SEC                             A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:206
C16DE2 $E5 $1C         SBC $1C [0000DC] = $0100        A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:62  H:209
C16DE4 $9D $32 $E3     STA $E332,X [7FE33A] = $FF00    A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:217
C16DE7 $EB             XBA                             A:FF00 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:227
C16DE8 $49 $FF $00     EOR #$00FF                      A:00FF X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:232
C16DEB $1A             INC                             A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:236
C16DEC $29 $FF $00     AND #$00FF                      A:0001 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:239
C16DEF $F0 $05         BEQ $C16DF6                     A:0001 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:244
C16DF1 $85 $1C         STA $1C [0000DC] = $0100        A:0001 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:247
C16DF3 $4C $D5 $6E     JMP $6ED5 [C16ED5] = $42AD      A:0001 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:255
C16ED5 $AD $42 $E3     LDA $E342 [7FE342] = $0000      A:0001 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:260
C16ED8 $D0 $2B         BNE $C16F05                     A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:268
C16EDA $A6 $18         LDX $18 [0000D8] = $0008        A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:271
C16EDC $BD $6C $E3     LDA $E36C,X [7FE374] = $0BD8    A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:286
C16EDF $38             SEC                             A:0BD8 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:296
C16EE0 $E5 $1C         SBC $1C [0000DC] = $0001        A:0BD8 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:299
C16EE2 $38             SEC                             A:0BD7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:307
C16EE3 $E9 $00 $08     SBC #$0800                      A:0BD7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:310
C16EE6 $2F $A0 $96 $7E AND $7E96A0                     A:03D7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:315
C16EEA $18             CLC                             A:03D7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:324
C16EEB $69 $00 $08     ADC #$0800                      A:03D7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:327
C16EEE $9D $6C $E3     STA $E36C,X [7FE374] = $0BD8    A:0BD7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:331
C16EF1 $85 $14         STA $14 [0000D4] = $0BD8        A:0BD7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:63  H:1  
C16EF3 $BD $1E $E3     LDA $E31E,X [7FE326] = $FD80    A:0BD7 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:63  H:10 
C16EF6 $38             SEC                             A:FD80 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:63  H:20 
C16EF7 $E5 $1C         SBC $1C [0000DC] = $0001        A:FD80 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:23 
C16EF9 $9D $1E $E3     STA $E31E,X [7FE326] = $FD80    A:FD7F X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:31 
C16EFC $9D $58 $E3     STA $E358,X [7FE360] = $FD80    A:FD7F X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:41 
C16EFF $20 $DC $8A     JSR $8ADC [C18ADC] = $18A6      A:FD7F X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:51 
C18ADC $A6 $18         LDX $18 [0000D8] = $0008        A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzC V:63  H:61 
C18ADE $E0 $08 $00     CPX #$0008                      A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:63  H:70 
C18AE1 $D0 $01         BNE $C18AE4                     A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:74 
C18AE3 $60             RTS                             A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:77 
C16F02 $20 $9F $A6     JSR $A69F [C1A69F] = $18A6      A:FD7F X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:87 
C1A69F $A6 $18         LDX $18 [0000D8] = $0008        A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:97 
C1A6A1 $BD $4E $E3     LDA $E34E,X [7FE356] = $0000    A:FD7F X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:63  H:106
C1A6A4 $F0 $3C         BEQ $C1A6E2                     A:0000 X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:116
C1A6E2 $60             RTS                             A:0000 X:0008 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:120
C16F05 $60             RTS                             A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:130
C16D40 $20 $F7 $6D     JSR $6DF7 [C16DF7] = $A8BD      A:0000 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIZC V:63  H:150
C16DF7 $BD $A8 $E3     LDA $E3A8,X [7FE3B0] = $0000    A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:160
C16DFA $F0 $3B         BEQ $C16E37                     A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:170
C16E37 $60             RTS                             A:0000 X:0008 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:63  H:175
C16D43 $A6 $18         LDX $18 [0000D8] = $0008        A:0000 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIZC V:63  H:185
C16D45 $CA             DEX                             A:0000 X:0008 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:193
C16D46 $CA             DEX                             A:0000 X:0007 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:196
C16D47 $10 $E5         BPL $C16D2E                     A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:199
C16D2E $86 $18         STX $18 [0000D8] = $0008        A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:204
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2D8] = $0000    A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:212
C16D33 $F0 $0E         BEQ $C16D43                     A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIZC V:63  H:222
C16D43 $A6 $18         LDX $18 [0000D8] = $0006        A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIZC V:63  H:227
C16D45 $CA             DEX                             A:0000 X:0006 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:235
C16D46 $CA             DEX                             A:0000 X:0005 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:238
C16D47 $10 $E5         BPL $C16D2E                     A:0000 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:241
C16D2E $86 $18         STX $18 [0000D8] = $0006        A:0000 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:246
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2D6] = $0001    A:0000 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:254
C16D33 $F0 $0E         BEQ $C16D43                     A:0001 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:264
C16D35 $BD $9E $E3     LDA $E39E,X [7FE3A2] = $FF00    A:0001 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:nvmxdIzC V:63  H:267
C16D38 $1D $A8 $E3     ORA $E3A8,X [7FE3AC] = $0000    A:FF00 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzC V:63  H:288
C16D3B $F0 $06         BEQ $C16D43                     A:FF00 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzC V:63  H:298
C16D3D $20 $B6 $6D     JSR $6DB6 [C16DB6] = $9EBD      A:FF00 X:0004 Y:0214 S:03F9 D:00C0 DB:7F P:NvmxdIzC V:63  H:301
C16DB6 $BD $9E $E3     LDA $E39E,X [7FE3A2] = $FF00    A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:311
C16DB9 $F0 $3B         BEQ $C16DF6                     A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:321
C16DBB $30 $18         BMI $C16DD5                     A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:323
C16DD5 $49 $FF $FF     EOR #$FFFF                      A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:63  H:327
C16DD8 $1A             INC                             A:00FF X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:63  H:332
C16DD9 $85 $1C         STA $1C [0000DC] = $0001        A:0100 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:63  H:335
C16DDB $BD $32 $E3     LDA $E332,X [7FE336] = $FF00    A:0100 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:3  
C16DDE $29 $FF $00     AND #$00FF                      A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzC V:64  H:13 
C16DE1 $38             SEC                             A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:64  H:18 
C16DE2 $E5 $1C         SBC $1C [0000DC] = $0100        A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:64  H:21 
C16DE4 $9D $32 $E3     STA $E332,X [7FE336] = $FF00    A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:64  H:29 
C16DE7 $EB             XBA                             A:FF00 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:64  H:39 
C16DE8 $49 $FF $00     EOR #$00FF                      A:00FF X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:NvmxdIzc V:64  H:44 
C16DEB $1A             INC                             A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:64  H:48 
C16DEC $29 $FF $00     AND #$00FF                      A:0001 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:51 
C16DEF $F0 $05         BEQ $C16DF6                     A:0001 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:56 
C16DF1 $85 $1C         STA $1C [0000DC] = $0100        A:0001 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:59 
C16DF3 $4C $D5 $6E     JMP $6ED5 [C16ED5] = $42AD      A:0001 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:67 
C16ED5 $AD $42 $E3     LDA $E342 [7FE342] = $0000      A:0001 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:72 
C16ED8 $D0 $2B         BNE $C16F05                     A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:64  H:80 
C16EDA $A6 $18         LDX $18 [0000D8] = $0004        A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZc V:64  H:83 
C16EDC $BD $6C $E3     LDA $E36C,X [7FE370] = $0BD8    A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:92 
C16EDF $38             SEC                             A:0BD8 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzc V:64  H:102
C16EE0 $E5 $1C         SBC $1C [0000DC] = $0001        A:0BD8 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:105
C16EE2 $38             SEC                             A:0BD7 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:113
C16EE3 $E9 $00 $08     SBC #$0800                      A:0BD7 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:116
C16EE6 $2F $A0 $96 $7E AND $7E96A0                     A:03D7 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:121
C16EEA $18             CLC                             A:03D7 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIzC V:64  H:131
