C16D2B $A2 $08 $00     LDX #$0008                      A:0006 X:0010 Y:020C S:03F9 D:00C0 DB:7F P:NvmxdIzc V:60  H:275
C16D2E $86 $18         STX $18 [0000D8] = $0200        A:0006 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:286
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2DA] = $0001    A:0006 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:294
C16D33 $F0 $0E         BEQ $C16D43                     A:0001 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:304
C16D35 $BD $9E $E3     LDA $E39E,X [7FE3A6] = $0100    A:0001 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:307
C16D38 $1D $A8 $E3     ORA $E3A8,X [7FE3B0] = $0000    A:0100 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:317
C16D3B $F0 $06         BEQ $C16D43                     A:0100 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:327
C16D3D $20 $B6 $6D     JSR $6DB6 [C16DB6] = $9EBD      A:0100 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzc V:60  H:329
C16DB6 $BD $9E $E3     LDA $E39E,X [7FE3A6] = $0100    A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:60  H:339
C16DB9 $F0 $3B         BEQ $C16DF6                     A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:9  
C16DBB $30 $18         BMI $C16DD5                     A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:12 
C16DBD $BD $32 $E3     LDA $E332,X [7FE33A] = $FF00    A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:15 
C16DC0 $29 $FF $00     AND #$00FF                      A:FF00 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:61  H:25 
C16DC3 $18             CLC                             A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:61  H:30 
C16DC4 $7D $9E $E3     ADC $E39E,X [7FE3A6] = $0100    A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:61  H:33 
C16DC7 $9D $32 $E3     STA $E332,X [7FE33A] = $FF00    A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:43 
C16DCA $EB             XBA                             A:0100 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:53 
C16DCB $29 $FF $00     AND #$00FF                      A:0001 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:57 
C16DCE $F0 $26         BEQ $C16DF6                     A:0001 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:62 
C16DD0 $85 $1C         STA $1C [0000DC] = $0000        A:0001 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:65 
C16DD2 $4C $9E $6E     JMP $6E9E [C16E9E] = $3EAD      A:0001 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:73 
C16E9E $AD $3E $E3     LDA $E33E [7FE33E] = $0000      A:0001 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:78 
C16EA1 $D0 $31         BNE $C16ED4                     A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:61  H:86 
C16EA3 $BD $6C $E3     LDA $E36C,X [7FE374] = $0C38    A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:61  H:89 
C16EA6 $18             CLC                             A:0C38 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:61  H:99 
