01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01FE0B $8B             PHB                             A:CDC8 X:0D20 Y:CDC8 S:1FC9 D:0000 DB:01 P:nvMxdiZc V:198 H:316
01FE0C $A9 $04         LDA #$04                        A:CDC8 X:0D20 Y:CDC8 S:1FC8 D:0000 DB:01 P:nvMxdiZc V:198 H:321
01FE0E $48             PHA                             A:CD04 X:0D20 Y:CDC8 S:1FC8 D:0000 DB:01 P:nvMxdizc V:198 H:325
01FE0F $AB             PLB                             A:CD04 X:0D20 Y:CDC8 S:1FC7 D:0000 DB:01 P:nvMxdizc V:198 H:330
01FE10 $9C $81 $21     STZ $2181 [042181] = $00        A:CD04 X:0D20 Y:CDC8 S:1FC8 D:0000 DB:04 P:nvMxdizc V:198 H:337
01FE13 $A2 $40 $7F     LDX #$7F40                      A:CD04 X:0D20 Y:CDC8 S:1FC8 D:0000 DB:04 P:nvMxdizc V:199 H:4  
01FE16 $8E $82 $21     STX $2182 [042182] = $00        A:CD04 X:7F40 Y:CDC8 S:1FC8 D:0000 DB:04 P:nvMxdizc V:199 H:10 
01FE19 $A0 $20 $9A     LDY #$9A20                      A:CD04 X:7F40 Y:CDC8 S:1FC8 D:0000 DB:04 P:nvMxdizc V:199 H:19 
01FE1C $20 $0C $E9     JSR $E90C [01E90C] = $0B        A:CD04 X:7F40 Y:9A20 S:1FC8 D:0000 DB:04 P:NvMxdizc V:199 H:25 
01E90C $0B             PHD                             A:CD04 X:7F40 Y:9A20 S:1FC6 D:0000 DB:04 P:NvMxdizc V:199 H:37 
01E90D $DA             PHX                             A:CD04 X:7F40 Y:9A20 S:1FC4 D:0000 DB:04 P:NvMxdizc V:199 H:44 
01E90E $F4 $00 $21     PEA #$2100                      A:CD04 X:7F40 Y:9A20 S:1FC2 D:0000 DB:04 P:NvMxdizc V:199 H:52 
01E911 $2B             PLD                             A:CD04 X:7F40 Y:9A20 S:1FC0 D:0000 DB:04 P:NvMxdizc V:199 H:62 
01E912 $A2 $10 $00     LDX #$0010                      A:CD04 X:7F40 Y:9A20 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:71 
01E915 $B9 $00 $00     LDA $0000,Y [049A20] = $03      A:CD04 X:0010 Y:9A20 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:77 
01E918 $C8             INY                             A:CD03 X:0010 Y:9A20 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:86 
01E919 $85 $80         STA $80 [002180] = $00          A:CD03 X:0010 Y:9A21 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:90 
01E91B $CA             DEX                             A:CD03 X:0010 Y:9A21 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:95 
01E91C $D0 $F7         BNE $01E915                     A:CD03 X:000F Y:9A21 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:99 
01E915 $B9 $00 $00     LDA $0000,Y [049A21] = $00      A:CD03 X:000F Y:9A21 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:104
