
01916C $20 $DB $81     JSR $81DB [0181DB] = $E2        A:FFFF X:D844 Y:C558 S:1FCB D:0000 DB:01 P:nvMxdizc V:32  H:104
0181DB $E2 $20         SEP #$20                        A:FFFF X:D844 Y:C558 S:1FC9 D:0000 DB:01 P:nvMxdizc V:32  H:115
0181DD $C2 $10         REP #$10                        A:FFFF X:D844 Y:C558 S:1FC9 D:0000 DB:01 P:nvMxdizc V:32  H:121
0181DF $0B             PHD                             A:FFFF X:D844 Y:C558 S:1FC9 D:0000 DB:01 P:nvMxdizc V:32  H:126
0181E0 $F4 $2B $19     PEA #$192B                      A:FFFF X:D844 Y:C558 S:1FC7 D:0000 DB:01 P:nvMxdizc V:32  H:144
0181E3 $2B             PLD                             A:FFFF X:D844 Y:C558 S:1FC5 D:0000 DB:01 P:nvMxdizc V:32  H:154
0181E4 $A2 $80 $07     LDX #$0780                      A:FFFF X:D844 Y:C558 S:1FC7 D:192B DB:01 P:nvMxdizc V:32  H:163
0181E7 $A0 $08 $C7     LDY #$C708                      A:FFFF X:0780 Y:C558 S:1FC7 D:192B DB:01 P:nvMxdizc V:32  H:169
0181EA $A9 $10         LDA #$10                        A:FFFF X:0780 Y:C708 S:1FC7 D:192B DB:01 P:NvMxdizc V:32  H:175
0181EC $20 $07 $82     JSR $8207 [018207] = $08        A:FF10 X:0780 Y:C708 S:1FC7 D:192B DB:01 P:nvMxdizc V:32  H:179
018207 $08             PHP                             A:FF10 X:0780 Y:C708 S:1FC5 D:192B DB:01 P:nvMxdizc V:32  H:190
018208 $C2 $30         REP #$30                        A:FF10 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvMxdizc V:32  H:196
01820A $86 $00         STX $00 [00192B] = $0000        A:FF10 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:201
01820C $84 $02         STY $02 [00192D] = $2F06        A:FF10 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:211
01820E $29 $FF $00     AND #$00FF                      A:FF10 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:220
018211 $85 $04         STA $04 [00192F] = $0040        A:0010 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:226
018213 $85 $06         STA $06 [001931] = $7F04        A:0010 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:236
018215 $20 $2E $82     JSR $822E [01822E] = $088B      A:0010 X:0780 Y:C708 S:1FC4 D:192B DB:01 P:nvmxdizc V:32  H:245
01822E $8B             PHB                             A:0010 X:0780 Y:C708 S:1FC2 D:192B DB:01 P:nvmxdizc V:32  H:257
01822F $08             PHP                             A:0010 X:0780 Y:C708 S:1FC1 D:192B DB:01 P:nvmxdizc V:32  H:262
018230 $C2 $30         REP #$30                        A:0010 X:0780 Y:C708 S:1FC0 D:192B DB:01 P:nvmxdizc V:32  H:268
018232 $8B             PHB                             A:0010 X:0780 Y:C708 S:1FC0 D:192B DB:01 P:nvmxdizc V:32  H:273
018233 $AD $2B $19     LDA $192B [01192B] = $0780      A:0010 X:0780 Y:C708 S:1FBF D:192B DB:01 P:nvmxdizc V:32  H:291
018236 $18             CLC                             A:0780 X:0780 Y:C708 S:1FBF D:192B DB:01 P:nvmxdizc V:32  H:301
018237 $69 $20 $CA     ADC #$CA20                      A:0780 X:0780 Y:C708 S:1FBF D:192B DB:01 P:nvmxdizc V:32  H:304
01823A $AA             TAX                             A:D1A0 X:0780 Y:C708 S:1FBF D:192B DB:01 P:Nvmxdizc V:32  H:310
01823B $AC $2D $19     LDY $192D [01192D] = $C708      A:D1A0 X:D1A0 Y:C708 S:1FBF D:192B DB:01 P:Nvmxdizc V:32  H:314
01823E $A9 $0F $00     LDA #$000F                      A:D1A0 X:D1A0 Y:C708 S:1FBF D:192B DB:01 P:Nvmxdizc V:32  H:323
018241 $54 $7F $04     MVN $04 -> $7F                  A:000F X:D1A0 Y:C708 S:1FBF D:192B DB:01 P:nvmxdizc V:32  H:329
018241 $54 $7F $04     MVN $04 -> $7F                  A:000E X:D1A1 Y:C709 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:2  
018241 $54 $7F $04     MVN $04 -> $7F                  A:000D X:D1A2 Y:C70A S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:15 
018241 $54 $7F $04     MVN $04 -> $7F                  A:000C X:D1A3 Y:C70B S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:28 
018241 $54 $7F $04     MVN $04 -> $7F                  A:000B X:D1A4 Y:C70C S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:41 
018241 $54 $7F $04     MVN $04 -> $7F                  A:000A X:D1A5 Y:C70D S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:54 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0009 X:D1A6 Y:C70E S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:67 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0008 X:D1A7 Y:C70F S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:80 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0007 X:D1A8 Y:C710 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:93 
018241 $54 $7F $04     MVN $04 -> $7F                  A:0006 X:D1A9 Y:C711 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:106
018241 $54 $7F $04     MVN $04 -> $7F                  A:0005 X:D1AA Y:C712 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:119
018241 $54 $7F $04     MVN $04 -> $7F                  A:0004 X:D1AB Y:C713 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:132
018241 $54 $7F $04     MVN $04 -> $7F                  A:0003 X:D1AC Y:C714 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:155
018241 $54 $7F $04     MVN $04 -> $7F                  A:0002 X:D1AD Y:C715 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:168
018241 $54 $7F $04     MVN $04 -> $7F                  A:0001 X:D1AE Y:C716 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:181
018241 $54 $7F $04     MVN $04 -> $7F                  A:0000 X:D1AF Y:C717 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:194
018244 $AB             PLB                             A:FFFF X:D1B0 Y:C718 S:1FBF D:192B DB:7F P:nvmxdizc V:33  H:207
018245 $8A             TXA                             A:FFFF X:D1B0 Y:C718 S:1FC0 D:192B DB:01 P:nvmxdizc V:33  H:214
018246 $38             SEC                             A:D1B0 X:D1B0 Y:C718 S:1FC0 D:192B DB:01 P:Nvmxdizc V:33  H:217
018247 $E9 $20 $CA     SBC #$CA20                      A:D1B0 X:D1B0 Y:C718 S:1FC0 D:192B DB:01 P:NvmxdizC V:33  H:221
01824A $AA             TAX                             A:0790 X:D1B0 Y:C718 S:1FC0 D:192B DB:01 P:nvmxdizC V:33  H:227
01824B $E2 $20         SEP #$20                        A:0790 X:0790 Y:C718 S:1FC0 D:192B DB:01 P:nvmxdizC V:33  H:230
01824D $C2 $10         REP #$10                        A:0790 X:0790 Y:C718 S:1FC0 D:192B DB:01 P:nvMxdizC V:33  H:236
01824F $F4 $7F $00     PEA #$007F                      A:0790 X:0790 Y:C718 S:1FC0 D:192B DB:01 P:nvMxdizC V:33  H:241
018252 $AB             PLB                             A:0790 X:0790 Y:C718 S:1FBE D:192B DB:01 P:nvMxdizC V:33  H:251
018253 $68             PLA                             A:0790 X:0790 Y:C718 S:1FBF D:192B DB:7F P:nvMxdizC V:33  H:258
018254 $EB             XBA                             A:0700 X:0790 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdiZC V:33  H:265
018255 $A9 $08         LDA #$08                        A:0007 X:0790 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdizC V:33  H:270
018257 $8D $33 $19     STA $1933 [7F1933] = $00        A:0008 X:0790 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdizC V:33  H:274
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B0] = $00    A:0008 X:0790 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdizC V:33  H:294
01825E $E8             INX                             A:0000 X:0790 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdiZC V:33  H:304
01825F $99 $00 $00     STA $0000,Y [7FC718] = $00      A:0000 X:0791 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdizC V:33  H:308
018262 $C8             INY                             A:0000 X:0791 Y:C718 S:1FC0 D:192B DB:7F P:nvMxdizC V:33  H:317
018263 $A9 $00         LDA #$00                        A:0000 X:0791 Y:C719 S:1FC0 D:192B DB:7F P:NvMxdizC V:33  H:321
018265 $99 $00 $00     STA $0000,Y [7FC719] = $00      A:0000 X:0791 Y:C719 S:1FC0 D:192B DB:7F P:nvMxdiZC V:33  H:324
018268 $C8             INY                             A:0000 X:0791 Y:C719 S:1FC0 D:192B DB:7F P:nvMxdiZC V:33  H:333
018269 $CE $33 $19     DEC $1933 [7F1933] = $08        A:0000 X:0791 Y:C71A S:1FC0 D:192B DB:7F P:NvMxdizC V:33  H:337
01826C $D0 $EC         BNE $01825A                     A:0000 X:0791 Y:C71A S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:8  
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B1] = $00    A:0000 X:0791 Y:C71A S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:14 
01825E $E8             INX                             A:0000 X:0791 Y:C71A S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:24 
01825F $99 $00 $00     STA $0000,Y [7FC71A] = $00      A:0000 X:0792 Y:C71A S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:27 
018262 $C8             INY                             A:0000 X:0792 Y:C71A S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:37 
018263 $A9 $00         LDA #$00                        A:0000 X:0792 Y:C71B S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:40 
018265 $99 $00 $00     STA $0000,Y [7FC71B] = $00      A:0000 X:0792 Y:C71B S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:44 
018268 $C8             INY                             A:0000 X:0792 Y:C71B S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:54 
018269 $CE $33 $19     DEC $1933 [7F1933] = $07        A:0000 X:0792 Y:C71C S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:57 
01826C $D0 $EC         BNE $01825A                     A:0000 X:0792 Y:C71C S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:69 
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B2] = $1C    A:0000 X:0792 Y:C71C S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:74 
01825E $E8             INX                             A:001C X:0792 Y:C71C S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:84 
01825F $99 $00 $00     STA $0000,Y [7FC71C] = $1C      A:001C X:0793 Y:C71C S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:88 
